Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
03-01-2020,ID-JK,DKI Jakarta,2,0,0,2,39,20,75,-56,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.6,0,1.84,0.18,51.28%,192.31%,,
03-02-2020,ID-JK,DKI Jakarta,2,0,0,2,41,20,75,-54,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.78,0,1.84,0.18,48.78%,182.93%,1,1
03-02-2020,IDN,Indonesia,2,0,0,2,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.01,0,0,0,0.00%,0.00%,,
03-02-2020,ID-RI,Riau,1,0,0,1,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0.16,0.16,0,0,0,0.00%,100.00%,,
03-03-2020,ID-JK,DKI Jakarta,2,0,0,2,43,20,75,-52,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.96,0,1.84,0.18,46.51%,174.42%,1,1
03-03-2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0,0.01,0,0,0,0.00%,0.00%,0,1
03-03-2020,ID-JB,Jawa Barat,1,1,0,0,1,1,60,-60,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.02,0.02,0.02,0,100.00%,6000.00%,,
03-03-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,0,1
03-04-2020,ID-JK,DKI Jakarta,2,0,0,2,45,20,75,-50,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.15,0,1.84,0.18,44.44%,166.67%,1,1
03-04-2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0,0.01,0,0,0,0.00%,0.00%,1,1
03-04-2020,ID-JB,Jawa Barat,1,0,0,1,2,1,60,-59,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.04,0,0.02,0,50.00%,3000.00%,1,0
03-04-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-05-2020,ID-JK,DKI Jakarta,0,1,0,-1,45,21,75,-51,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0.09,1.94,0.19,46.67%,166.67%,0,
03-05-2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0,0.01,0,0,0,0.00%,0.00%,1,1
03-05-2020,ID-JB,Jawa Barat,1,0,0,1,3,1,60,-58,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.07,0,0.02,0,33.33%,2000.00%,1,1
03-05-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-06-2020,ID-BT,Banten,1,0,1,0,1,5,111,-115,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.09,0,0.47,0.05,500.00%,11100.00%,,
03-06-2020,ID-JK,DKI Jakarta,0,0,0,0,45,21,75,-51,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0,1.94,0.19,46.67%,166.67%,1,0
03-06-2020,IDN,Indonesia,2,0,0,2,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0,0,0,0.00%,0.00%,,1
03-06-2020,ID-JB,Jawa Barat,1,0,0,1,4,1,60,-57,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.09,0,0.02,0,25.00%,1500.00%,1,1
03-06-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-07-2020,ID-BT,Banten,0,0,0,0,1,5,111,-115,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0,0.09,0,0.47,0.05,500.00%,11100.00%,0,1
03-07-2020,ID-JK,DKI Jakarta,0,2,0,-2,45,23,75,-53,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0.18,2.12,0.21,51.11%,166.67%,1,
03-07-2020,IDN,Indonesia,0,0,0,0,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0,0.02,0,0,0,0.00%,0.00%,0,1
03-07-2020,ID-JB,Jawa Barat,0,0,0,0,4,1,60,-57,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.09,0,0.02,0,25.00%,1500.00%,0,1
03-07-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-08-2020,ID-BT,Banten,1,0,3,-2,2,5,114,-117,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.19,0,0.47,0.05,250.00%,5700.00%,,1
03-08-2020,ID-JK,DKI Jakarta,0,0,0,0,45,23,75,-53,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0,2.12,0.21,51.11%,166.67%,1,0
03-08-2020,IDN,Indonesia,2,0,0,2,6,0,0,6,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0,0,0,0.00%,0.00%,,1
03-08-2020,ID-JB,Jawa Barat,0,0,0,0,4,1,60,-57,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.09,0,0.02,0,25.00%,1500.00%,1,1
03-08-2020,ID-JT,Jawa Tengah,1,1,0,0,1,10,11,-20,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.03,0.03,0.27,0.03,1000.00%,1100.00%,,
03-08-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-09-2020,ID-BT,Banten,0,0,0,0,2,5,114,-117,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0,0.19,0,0.47,0.05,250.00%,5700.00%,0,1
03-09-2020,ID-JK,DKI Jakarta,0,1,0,-1,45,24,75,-54,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0.09,2.21,0.22,53.33%,166.67%,1,
03-09-2020,IDN,Indonesia,13,0,0,13,19,0,0,19,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.05,0.07,0,0,0,0.00%,0.00%,6.5,1
03-09-2020,ID-JB,Jawa Barat,0,0,0,0,4,1,60,-57,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0,0.09,0,0.02,0,25.00%,1500.00%,1,1
03-09-2020,ID-JT,Jawa Tengah,0,0,0,0,1,10,11,-20,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0,0.03,0,0.27,0.03,1000.00%,1100.00%,0,0
03-09-2020,ID-RI,Riau,0,0,0,0,1,0,1,0,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.8,101.8051092,0.511647851,0,0.16,0,0,0,0.00%,100.00%,1,1
03-10-2020,ID-BT,Banten,0,0,8,-8,2,5,122,-125,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0,0.19,0,0.47,0.05,250.00%,6100.00%,1,1
03-10-2020,ID-JK,DKI Jakarta,0,0,0,0,45,24,75,-54,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0,4.15,0,2.21,0.22,53.33%,166.67%,1,0
03-10-2020,IDN,Indonesia,8,0,2,6,27,0,2,25,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.03,0.1,0,0,0,0.00%,7.41%,0.62,1
